Timestamp,Actual Grade,Predicted Grade
7/5/2017 22:58:13,45,90
7/5/2017 22:59:30,1,1
7/5/2017 22:59:47,1,1
7/5/2017 23:11:34,43,45
7/5/2017 23:22:17,33,36
7/5/2017 23:24:52,36,37
7/5/2017 23:37:18,38,42
7/5/2017 23:37:48,34,35
7/5/2017 23:43:56,41,40
7/5/2017 23:59:17,36,39
7/6/2017 0:06:02,33,34
7/6/2017 0:19:45,40,45
7/6/2017 0:21:51,100,1
7/6/2017 0:37:22,29,39
7/6/2017 0:43:11,40,42
7/6/2017 0:49:09,39,42
7/6/2017 0:49:52,41,42
7/6/2017 0:52:09,38,39
7/6/2017 0:52:10,38,39
7/6/2017 0:53:31,6,5
7/6/2017 1:14:18,34,39
7/6/2017 1:26:13,41,39
7/6/2017 1:33:52,37,42
7/6/2017 1:37:20,36,40
7/6/2017 1:37:38,45,42
7/6/2017 2:06:47,4,5
7/6/2017 2:19:00,43,39
7/6/2017 2:19:55,38,40
7/6/2017 2:23:15,40,42
7/6/2017 2:36:24,50,0.1
7/6/2017 2:38:36,37,38
7/6/2017 2:45:17,39,41
7/6/2017 3:08:21,7,45
7/6/2017 3:17:03,38,39
7/6/2017 3:29:49,27,30
7/6/2017 4:23:28,45,32
7/6/2017 4:41:47,37,38
7/6/2017 4:46:51,34,37
7/6/2017 5:00:14,32,34
7/6/2017 5:00:16,32,34
7/6/2017 5:11:34,34,34
7/6/2017 5:34:34,44,45
7/6/2017 5:35:15,44,44
7/6/2017 5:39:41,42,40
7/6/2017 5:41:18,34,35
7/6/2017 5:47:11,100,1
7/6/2017 6:06:20,36,33
7/6/2017 6:09:28,34,33
7/6/2017 6:17:23,42,43
7/6/2017 6:19:20,35,37
7/6/2017 6:39:24,41,40
7/6/2017 6:42:05,28,31
7/6/2017 6:45:17,36,36
7/6/2017 6:48:40,40,43
7/6/2017 6:53:34,41,41
7/6/2017 6:55:57,30,34
7/6/2017 7:05:03,28,29
7/6/2017 7:18:54,42,44
7/6/2017 7:19:29,34,36
7/6/2017 7:30:09,32,34
7/6/2017 7:38:54,38,38
7/6/2017 7:57:41,45,45
7/6/2017 8:02:52,28,28
7/6/2017 8:09:12,37,40
